Title,Description,URL
大雪のおそれ ＪＲは２３日も北陸線と湖西線で本数減らし運転｜NHK 滋賀県のニュース - nhk.or.jp,【NHK】大雪のおそれが続いていることから、ＪＲ西日本は２２日午後、北陸線の長浜駅と近江塩津駅の間と、湖西線の近江今津駅と近江塩津駅の間で本数を通常…,https://www3.nhk.or.jp/lnews/otsu/20231222/2060014877.html
ダイハツ工業不正問題 広がる不安 信頼揺らぐ車の“安全性” 「不正をしていた会社が『乗っても大丈夫です』と言ってもユーザーは信じられるのか」｜TBS NEWS DIG - TBS NEWS DIG Powered by JNN,ダイハツ工業が国の認証を不正に取得していた問題。いま、乗っている車は大丈夫なのか？自動車ユーザーには不安が広がっています。斉藤鉄夫 国土交通大臣「自分が乗っている車、大丈夫なのかと、ご不安をお持ちの方がたくさんいると思う。不正行為が確認された車種について、速やかに確認試験を行ってまいります」不正があったダイハツの...,https://www.youtube.com/watch?v=dQYLzQQlGSw
京葉線通勤快速廃止、JR東日本が千葉県・市に説明へ - 日本経済新聞,JR東日本千葉支社の土沢壇支社長（JR東執行役員）は22日の記者会見で、来春のダイヤ改正で京葉線の「通勤快速」を廃止し、各駅停車への降格を決めたことなどについて「京葉線の利便性向上のための改正で丁寧に説明していく」と述べた。「容認できない」として同支社への申し入れを決めた千葉県や千葉市に対しては、同支社長が直接説明に出向く姿勢も示した。同支社長は、今回のダイヤ改正の狙いについて「混雑の平準化,https://www.nikkei.com/article/DGXZQOCC227KI0S3A221C2000000/
群馬テレビが武井社長を解職 「正常な報道業務果たせない」ことを理由に 新社長には専務の中川氏 - 株式会社　上毛新聞社,群馬テレビ（群馬県前橋市上小出町）は22日、同日の取締役会で武井和夫社長を解職し、中川伸一郎専務取締役を新社長に選任したと発表した。解職理由として「求められる社会的責任、使命、正常な形での報道業...,https://www.jomo-news.co.jp/articles/-/394864
経済記者インサイトSP～ニッポン経済への警告～①「企業倒産が加速！安いニッポンから抜け出せ！」（2023年12月22日） - テレ東BIZ,★フルバージョンは「テレ東BIZ」で配信中（無料でお試し）⇒https://txbiz.tv-tokyo.co.jp/original2/vod/post_288030?utm_source=youtube&utm_medium=video&utm_campaign=231222_keizai経済記者インサイト、...,https://www.youtube.com/watch?v=F7sT_OFzQmg
日経平均上昇率、辰年は十二支で首位「辰巳天井」格言も - 日本経済新聞,「卯（う）跳ねる」の相場格言通り、日経平均株価が大きく上昇した2023年も残すところあと10日ほど。24年の十二支は辰（たつ）だが、十二支のなかで最も上昇率が高いというデータがある。前回の12年は、安倍晋三政権の経済政策「アベノミクス」を手掛かりに株価が上昇した。一方で「辰巳（たつみ）天井」の格言もある。株高が進んだとしても、前後数年の天井となる可能性には注意が必要だ。1950年以降の日経平,https://www.nikkei.com/article/DGXZQOFL220MKTS3A221C2000000/
三井海洋、今期最終を92％上方修正 - 株探ニュース,三井海洋開発 ＜６２６９＞ ［東証Ｐ］ が１２月２２日大引け後（１５：３０）に業績修正（国際会計基準＝ＩＦＲＳ）を発表。２３年１２月期の連結最終利益を従来予想の６７．３億円→１２９億円（前期は４９．６億円）に９１．９％上方修正し・・・。,https://kabutan.jp/news/?b=k202312220008
話題株ピックアップ【夕刊】（2）：山パン、小田急、レーザーテク | 注目株 - 株探ニュース,山崎製パン＜２２１２＞が急動意。脱コロナに伴う外出機会の増加で消費者のコンビニエンスストアなどでの商品購入機会が増えていることに加え、食パンや洋菓子など製品値上げ効果も発現し、業績は会社側の想定を上回って好調な推移を示している・・・。,https://kabutan.jp/news/marketnews/?b=n202312220855
話題株ピックアップ【夕刊】（1）：ＱＰＳ研究所、ＡＩメカ、ペプドリ | 注目株 - 株探ニュース,ＱＰＳ研究所＜５５９５＞が大幅続伸。午前１１時ごろ、東京海上日動火災保険（東京都千代田区）と衛星データを活用したサービス開発に向けて協業を開始したと発表しており、好材料視された。今回の協業は、東京海上日動のリスクマネジメント・デジタルプラットフォーム「ＴＭ　Ｓｔａｔｉｏｎ　Ｐｏｒｔａｌ」内のリスク管理情報機能「ＴＭ－ＧＲＳ」におけるサービスを開発するのが狙い・・・。,https://kabutan.jp/news/marketnews/?b=n202312220845
阪神高速「上限1320円→1950円」引き上げへ 現金車は大幅値上げ 近畿圏の新高速料金に具体案 - 乗りものニュース,方針でました！,https://trafficnews.jp/post/130105
大雪の上越市で1100戸が停電 - 上越タウンジャーナル,東北電力ネットワークによると2023年12月22日午後1時39分現在、新潟県上越市で約1100戸が停電している。 停電しているのは春日や中屋敷、中門前、浦川原区、三和区、柿崎区、吉川区など。 上越地域は大雪に見舞われている。原因は調査中で、同社が復旧作業を進めている。 nw.tohoku-epco.co.jp 関連記事 www.joetsutj.com,https://www.joetsutj.com/2023/12/22/141030
東京23区で緊急事態の“SOS”「粗大ごみ廃棄控えて」 処理施設を火災で一部使用できず - FNNプライムオンライン,"",https://www.youtube.com/watch?v=6_PnBsxgn3E
トヨタ、「ハイラックス」にオーバーフェンダーなど専用装備採用の特別仕様車 Z“Revo ROCCO Edition” - Car Watch,トヨタ自動車は12月22日、「ハイラックス」に特別仕様車 Z“Revo ROCCO Edition”を設定して、同日より注文受付を開始した。価格は477万2000円で、発売は、2024年5月ごろを予定している。,https://car.watch.impress.co.jp/docs/news/1556893.html
住友商事社長に上野真吾氏、兵頭誠之社長は会長に - 日本経済新聞,住友商事は22日、上野真吾副社長執行役員（64）が2024年4月1日付で社長に昇格する人事を決めた。兵頭誠之社長（64）は代表権のない会長に就く。非資源事業の拡大など構造改革にメドがついたと判断した。社長交代は6年ぶり。脱炭素の加速など経営環境が変わるなか、経営陣を刷新して成長分野の育成を急ぐ。上野氏は主力事業の鋼管部門出身。21年に次世代のエネルギー事業に取り組むために新設された横断組織のト,https://www.nikkei.com/article/DGXZQOUC153RO0V11C23A2000000/
最高速度９０キロに引き上げ「了承」高速道のトラック 物流業界２０２４年問題で - 産経ニュース,物流業界の「２０２４年問題」を見据え、高速道路でのトラックの制限速度引き上げを議論してきた警察庁の有識者検討会は２２日、中大型トラックの最高速度を現行の時速８…,https://www.sankei.com/article/20231222-K5OBU3NT4JLU3BVUU52DWFJQPM/
来週のドル・円軟調か、日銀タカ派的なサプライズあれば140円割れも - ブルームバーグ,来週のドル・円は下落傾向が続きそうだ。市場の焦点は、日本銀行の植田和男総裁の講演や12月の金融政策決定会合の主な意見で、タカ派的な内容に対して円高で反応するリスクがある。米国のインフレ鈍化傾向を背景にしたドル安基調も続きそうだ。,https://www.bloomberg.co.jp/news/articles/2023-12-22/S61O84T0G1KW00
日本航空が不適切整備 記録も削除、業務改善勧告へ―国交省 - 時事通信ニュース,日本航空の国内線の一部で不適切な整備が行われていたとして、国土交通省は２２日、整備を実施した同社のグループ会社「ＪＡＬエンジニアリング」に業務改善勧告を出す方針を固めた。同省への取材で分かった。,https://www.jiji.com/jc/article?k=2023122200634&g=eco
住生、シンガポール生保のシングライフを子会社化－1700億円出資 - ブルームバーグ,住友生命保険は22日、シンガポール・ライフ・ホールディングス（シングライフ）に追加出資し、子会社化すると正式発表した。,https://www.bloomberg.co.jp/news/articles/2023-12-22/S61V9JT0AFB500
