Category,Title,Description,URL
business,全国のコンビニやＪＲ駅でクレカ決済できないトラブル、夜までに復旧…システム障害が原因 - 読売新聞オンライン,１１日午後、全国のコンビニやスーパー、ＪＲの駅などでクレジットカードの決済ができない障害が発生した。複数の金融機関によると、各カード会社と加盟店を結ぶ決済システムを運営するカード大手ジェーシービー（ＪＣＢ）の子会社「日,https://www.yomiuri.co.jp/economy/20231111-OYT1T50200/
business,尼崎JR脱線の車両保存施設、25年12月ごろ完成 実寸大で現場を再現 設計変更で1年遅れ - 神戸新聞NEXT,ＪＲ西日本は１１日、乗客１０６人が死亡した２００５年の尼崎ＪＲ脱線事故の遺族と負傷者向けの説明会を宝塚市内で開いた。大阪府吹田市の社員研修センターの隣で整備している事故車両の保存施設について、２５年１２月ごろの完成を目指す方針を明らかにした。ＪＲ西は当初、２４年秋の完成予定と公表していたが、遺族や負傷者の要望を踏まえた結果、設計変更の必要が生じたため、昨年１１月の説明会で１年程度遅れる見通しを示していた。,https://www.kobe-np.co.jp/news/society/202311/0017018184.shtml
business,「新NISA」で変身する株、「金鉱脈先取り10銘柄」大選抜 ＜株探トップ特集＞ | 特集 - 株探ニュース,―個人投資家に強力なフォローウインド、新たなるバリュー系出世株が爆誕へ！―　来年１月からいよいよ「新ＮＩＳＡ」がスタートする。改めて言うまでもないが、 ＮＩＳＡとは少額投資非課税制度のこと。決められた口座で毎年一定金額の範囲内で購入した個別株式や投資信託などの金融商品から得られる利益に対し・・・。,https://kabutan.jp/news/marketnews/?b=n202311110186
business,外部弁護士による調査チームの報告書について | ニュース | 宝塚歌劇公式ホームページ - 宝塚歌劇,このたびの宝塚歌劇団生徒の急逝につきまして、弊団といたしまして大変重く受けとめており、誠実に対応してまいる所存です。また、昨夜、外部弁護士による調査チームより、調査報告書を受領いたしました。調査結果に,https://kageki.hankyu.co.jp/news/20231111_4.html
business,スズキ新型「スペーシア」ついに登場！ 後席の「斬新ひみつ機能」が早くも話題!? 6年ぶり全面刷新への反響は - くるまのニュース,スズキが軽乗用車「スペーシア」「スペーシアカスタム」の新型を発表しました。SNSではどのような反響があるのでしょうか。,https://kuruma-news.jp/post/710256
business,金融庁、資産運用の参入容易に 管理部門なくても可能 - 日本経済新聞,金融庁は資産運用会社の参入規制を緩和する。現在は各社が自前で運用と資産管理の両方を持たなければ参入が認められない。管理部門を持たなくても認められるようになる。運用会社の立ち上げ時に資金を拠出する仕組みも導入する。参入障壁を下げることで小規模でも特徴ある運用会社の新規参入を促す。運用先を多様化し、投資家の選択肢を広げる。政府は「資産運用立国」を掲げ、運用会社の裾野拡大を目指している。管理部門を自,https://www.nikkei.com/article/DGXZQOUB269HC0W3A021C2000000/
business,世界の都市総合力ランク、東京が８年連続の３位…大阪３７位・福岡４２位 - 読売新聞オンライン,森ビルの調査研究機関・森記念財団都市戦略研究所は、世界の主要４８都市を対象にした「都市総合力ランキング２０２３」を発表した。東京は８年連続の３位で、首位はロンドン、２位はニューヨークだった。 　ランキングは「研究・開発,https://www.yomiuri.co.jp/economy/20231111-OYT1T50135/
business,ひろゆきさん、大阪万博撤退意向報道のメキシコ「信頼失っていません」 政治家による”場外戦”受け私見：中日スポーツ・東京中日スポーツ - 中日新聞,インターネット掲示板２ちゃんねるの開設者で実業家の「ひろゆき」こと西村博之さん（４６）が１１日、自身のＸ（旧ツイッター）を更新。メキシ...,https://www.chunichi.co.jp/article/805383
business,中国工商銀へのサイバー攻撃、米国債市場に影響なし＝米財務長官 - ロイター (Reuters Japan),イエレン米財務長官は１０日、中国工商銀行（ＩＣＢＣ）がランサムウエア攻撃の被害を受けたことについて、米国債市場に影響は見られていないと述べた。,https://jp.reuters.com/markets/bonds/KO3YU4MCEJMKDEV3GXFCZBDMEY-2023-11-11/
business,トヨタ、新型「FCEVクラウンセダン」の市販モデル国内初披露 - Car Watch,トヨタ自動車は11月11日～12日、富士スピードウェイで開催されている「ENEOS スーパー耐久シリーズ2023 Supported by BRIDGESTONE 第7戦 S耐ファイナル 富士4時間レース with フジニックフェス（以下、S耐最終戦）」のイベントスペースにて、11月13日に発売となる新型「クラウンセダン」のFCEV（燃料電池）仕様の市販モデルを国内初展示している。,https://car.watch.impress.co.jp/docs/news/1546289.html
